Repo,CommitHash,TimeStamp,Language,Files,Lines,Code,Comments,Blanks
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,Python,48,2839,2252,96,491
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,Shell,4,261,204,42,15
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,Plain Text,1,10,10,0,0
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,YAML,6,213,187,15,11
Ghost,28c245b4ac0cb5686e7de005942a426d1e8027b8,1536958367,Total,175,11455,8458,1506,1491
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,BASH,9,601,457,55,89
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,Dockerfile,4,12,6,4,2
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,HCL,70,5146,3098,1267,781
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,JSON,10,1018,1018,0,0
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,Makefile,10,432,303,27,102
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,Markdown,12,546,546,0,0
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,Notebook,1,375,375,0,0
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,Python,48,2839,2252,96,491
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,Shell,4,261,204,42,15
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,Plain Text,1,10,10,0,0
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,YAML,6,213,187,15,11
Ghost,8f3adb3ed3795e6ddf497b705dc8567fbb5e02ac,1536954739,Total,175,11453,8456,1506,1491
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,BASH,9,601,457,55,89
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,Dockerfile,4,12,6,4,2
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,HCL,70,5146,3098,1267,781
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,JSON,10,1018,1018,0,0
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,Makefile,10,432,303,27,102
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,Markdown,12,546,546,0,0
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,Python,48,2839,2252,96,491
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,Shell,4,261,204,42,15
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,Plain Text,1,10,10,0,0
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,YAML,6,213,187,15,11
Ghost,3d02f8a0d7d473e31bb9f5e4b83d6ac67b5b0075,1534890532,Total,174,11078,8081,1506,1491
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,BASH,9,601,457,55,89
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,Dockerfile,4,12,6,4,2
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,HCL,70,5146,3098,1267,781
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,JSON,10,1018,1018,0,0
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,Makefile,10,432,303,27,102
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,Markdown,11,518,518,0,0
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,Python,48,2839,2252,96,491
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,Shell,4,261,204,42,15
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,Plain Text,1,10,10,0,0
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,YAML,6,213,187,15,11
Ghost,b8c4fc6e941d11b072883912d42e6ac67883ce25,1532628367,Total,173,11050,8053,1506,1491
Ghost,342e4322d03f0c86802f98f92ee7b45f2c55cd04,1532033236,BASH,9,601,457,55,89
Ghost,342e4322d03f0c86802f98f92ee7b45f2c55cd04,1532033236,Dockerfile,4,12,6,4,2
Ghost,342e4322d03f0c86802f98f92ee7b45f2c55cd04,1532033236,HCL,70,5146,3098,1267,781
Ghost,342e4322d03f0c86802f98f92ee7b45f2c55cd04,1532033236,JSON,10,1018,1018,0,0
