Repo,CommitHash,TimeStamp,Author,Language,Files,Lines,Code,Comments,Blanks,Revision Comment
ThunderWeasel,feccdc5bac4918ce9974f895a3efdfd23ed09b5b,1536081218,Leonhard Euler,Total,0,5,5,0,0,accounting for foreign labels tagged as f_phish in the counts
ThunderWeasel,c4f1c47f70f2a28d4d4b89bb6c33652f32ec142e,1536078811,Leonhard Euler,Notebook,0,9,9,0,0,fixing notebook to work correctly with multiple classifiers; tidying output formatting
ThunderWeasel,c4f1c47f70f2a28d4d4b89bb6c33652f32ec142e,1536078811,Leonhard Euler,Total,0,9,9,0,0,fixing notebook to work correctly with multiple classifiers; tidying output formatting
ThunderWeasel,abc4836aed07458d13a9983dac51d8db7f33ae1a,1536075606,Marvin Minsky,Markdown,0,3,3,0,0,Added a little extra to the ADR on creating wheels for the pypirc file
ThunderWeasel,abc4836aed07458d13a9983dac51d8db7f33ae1a,1536075606,Marvin Minsky,Total,0,3,3,0,0,Added a little extra to the ADR on creating wheels for the pypirc file
ThunderWeasel,7553f07e230f96fc6a6d5f2e62681443b9ae0829,1535734858,Leonhard Euler,Notebook,0,64,64,0,0,adding false positive RATE to notebook
ThunderWeasel,7553f07e230f96fc6a6d5f2e62681443b9ae0829,1535734858,Leonhard Euler,Total,0,64,64,0,0,adding false positive RATE to notebook
ThunderWeasel,a3bf491d4d9cb48fe80e36199a5701f07e4f8cd6,1535734823,Marvin Minsky,Python,0,16,14,0,2,Fixed a bug with the queue reader
ThunderWeasel,a3bf491d4d9cb48fe80e36199a5701f07e4f8cd6,1535734823,Marvin Minsky,Total,0,16,14,0,2,Fixed a bug with the queue reader
ThunderWeasel,f400ec741cda75428928126119429ff679cf692c,1535733073,Marvin Minsky,Python,0,14,16,-2,0,Added a few other changes and fixes to ahve the data store features and use the _dom in har
ThunderWeasel,f400ec741cda75428928126119429ff679cf692c,1535733073,Marvin Minsky,SQL,0,1,1,0,0,Added a few other changes and fixes to ahve the data store features and use the _dom in har
ThunderWeasel,f400ec741cda75428928126119429ff679cf692c,1535733073,Marvin Minsky,Total,0,15,17,-2,0,Added a few other changes and fixes to ahve the data store features and use the _dom in har
ThunderWeasel,6f0f585a69488abd23ac574f31b78189a45e844b,1535730965,Marvin Minsky,Python,0,5,6,-1,0,Added the actual _dom instead of _html for har items
ThunderWeasel,6f0f585a69488abd23ac574f31b78189a45e844b,1535730965,Marvin Minsky,Plain Text,0,1,1,0,0,Added the actual _dom instead of _html for har items
ThunderWeasel,6f0f585a69488abd23ac574f31b78189a45e844b,1535730965,Marvin Minsky,Total,0,6,7,-1,0,Added the actual _dom instead of _html for har items
ThunderWeasel,5d3daf851a6f64d98fd231ed83a065d48b6d2f5f,1535726264,Leonhard Euler,Notebook,1,200,200,0,0,adding fp counts notebook
ThunderWeasel,5d3daf851a6f64d98fd231ed83a065d48b6d2f5f,1535726264,Leonhard Euler,Total,1,200,200,0,0,adding fp counts notebook
ThunderWeasel,9dfd9401f4b86f455c3edc6bc3d9fb93bfb6366c,1535655292,Dennis Ritchie,YAML,0,-2,-2,0,0,removed vpn from canary
ThunderWeasel,9dfd9401f4b86f455c3edc6bc3d9fb93bfb6366c,1535655292,Dennis Ritchie,Total,0,-2,-2,0,0,removed vpn from canary
ThunderWeasel,666ed470e3486a5975a9b497b83db0bcfef83a27,1535653418,Marvin Minsky,Python,1,-9,7,-10,-6,Added final changes to support pulling from a queue and classifying
ThunderWeasel,666ed470e3486a5975a9b497b83db0bcfef83a27,1535653418,Marvin Minsky,SQL,0,17,10,4,3,Added final changes to support pulling from a queue and classifying
ThunderWeasel,666ed470e3486a5975a9b497b83db0bcfef83a27,1535653418,Marvin Minsky,Total,1,8,17,-6,-3,Added final changes to support pulling from a queue and classifying
ThunderWeasel,4e2b34d82e3addaee6fe7760915b1253618642e4,1535648627,John Nash,Notebook,0,-1,-1,0,0,ready to run
ThunderWeasel,4e2b34d82e3addaee6fe7760915b1253618642e4,1535648627,John Nash,Plain Text,0,1,1,0,0,ready to run
ThunderWeasel,f553f69fd5b1d253c3462285febb98cda9ef1e6d,1535639922,Leonhard Euler,Notebook,0,20,20,0,0,updating train_sage_part1.ipynb
ThunderWeasel,f553f69fd5b1d253c3462285febb98cda9ef1e6d,1535639922,Leonhard Euler,Total,0,20,20,0,0,updating train_sage_part1.ipynb
ThunderWeasel,83e2f2b99e18495a747dac02199a48b37ea84e79,1535580746,Edsger Dijkstra,Plain Text,0,-23,-23,0,0,fix owa_text feature
ThunderWeasel,83e2f2b99e18495a747dac02199a48b37ea84e79,1535580746,Edsger Dijkstra,Total,0,-23,-23,0,0,fix owa_text feature
ThunderWeasel,b83e49ae3633d367e14fffe44c5c553423d42fa7,1535578908,Leonhard Euler,Python,0,9,9,0,0,adding use of label tags to 'build_and_load' helpers
ThunderWeasel,b83e49ae3633d367e14fffe44c5c553423d42fa7,1535578908,Leonhard Euler,Plain Text,0,-28,-28,0,0,adding use of label tags to 'build_and_load' helpers
ThunderWeasel,b83e49ae3633d367e14fffe44c5c553423d42fa7,1535578908,Leonhard Euler,Total,0,-19,-19,0,0,adding use of label tags to 'build_and_load' helpers
ThunderWeasel,df5c10a027e98a687ac06ddcdd02e0d00cfe45ce,1535577073,Leonhard Euler,Notebook,0,23,23,0,0,generalizing the use of label tags as targets for consistent use of foreign label tags in models
ThunderWeasel,df5c10a027e98a687ac06ddcdd02e0d00cfe45ce,1535577073,Leonhard Euler,Python,0,130,104,7,19,generalizing the use of label tags as targets for consistent use of foreign label tags in models
ThunderWeasel,df5c10a027e98a687ac06ddcdd02e0d00cfe45ce,1535577073,Leonhard Euler,Plain Text,0,-1138,-1138,0,0,generalizing the use of label tags as targets for consistent use of foreign label tags in models
ThunderWeasel,df5c10a027e98a687ac06ddcdd02e0d00cfe45ce,1535577073,Leonhard Euler,Total,0,-985,-1011,7,19,generalizing the use of label tags as targets for consistent use of foreign label tags in models
ThunderWeasel,147338b401ad3f2b6e298e1ead05c36c6af1089c,1535568511,Edsger Dijkstra,Plain Text,0,-52,-52,0,0,fix canary test
ThunderWeasel,147338b401ad3f2b6e298e1ead05c36c6af1089c,1535568511,Edsger Dijkstra,Total,0,-52,-52,0,0,fix canary test
ThunderWeasel,94efcbb48dc65ca68bd5a93e3f8a5df37b70dab7,1535565453,Edsger Dijkstra,Python,0,14,12,0,2,more owa features
ThunderWeasel,94efcbb48dc65ca68bd5a93e3f8a5df37b70dab7,1535565453,Edsger Dijkstra,Total,0,14,12,0,2,more owa features
ThunderWeasel,f332786f47a22acbc2d1e9f3db70214fb8464694,1535562399,Edsger Dijkstra,Plain Text,0,-37,-37,0,0,run tests
ThunderWeasel,f332786f47a22acbc2d1e9f3db70214fb8464694,1535562399,Edsger Dijkstra,Total,0,-37,-37,0,0,run tests
ThunderWeasel,19e0141b3e97a5e42e063de264c6bc389a7de95c,1535561434,Edsger Dijkstra,Python,0,15,14,0,1,all but one feature
ThunderWeasel,19e0141b3e97a5e42e063de264c6bc389a7de95c,1535561434,Edsger Dijkstra,Total,0,15,14,0,1,all but one feature
ThunderWeasel,ab5505f2b38bba23f669ba816705aa71faed2a6d,1535550139,John Nash,Python,0,23,20,-2,5,changed html_sketch_v1 -> html_v1_hash and created screenshot_v1_hash
ThunderWeasel,ab5505f2b38bba23f669ba816705aa71faed2a6d,1535550139,John Nash,Plain Text,0,-1,-1,0,0,changed html_sketch_v1 -> html_v1_hash and created screenshot_v1_hash
ThunderWeasel,ab5505f2b38bba23f669ba816705aa71faed2a6d,1535550139,John Nash,Total,0,22,19,-2,5,changed html_sketch_v1 -> html_v1_hash and created screenshot_v1_hash
ThunderWeasel,8a5a37cdb656579e03b2076d989e74926b9e86c9,1535494964,Leonhard Euler,Python,0,-3,-3,0,0,reverting logging
ThunderWeasel,8a5a37cdb656579e03b2076d989e74926b9e86c9,1535494964,Leonhard Euler,Total,0,-3,-3,0,0,reverting logging
ThunderWeasel,de076b7119ad8d1275d368889d6e888a14312cda,1535493511,Leonhard Euler,Python,0,58,52,3,3,"augmenting phishmonger to keep and/or show duplicates; when sampling 'random', auto-keep all duplicates"
ThunderWeasel,de076b7119ad8d1275d368889d6e888a14312cda,1535493511,Leonhard Euler,Total,0,58,52,3,3,"augmenting phishmonger to keep and/or show duplicates; when sampling 'random', auto-keep all duplicates"
ThunderWeasel,3b5350c5971c6d8f19c0e55830d0ecbc9705296f,1535493313,John Nash,Python,0,0,-2,2,0,checking something
ThunderWeasel,3b5350c5971c6d8f19c0e55830d0ecbc9705296f,1535493313,John Nash,Total,0,0,-2,2,0,checking something
ThunderWeasel,5aa1e067198279e506f585091c05d627404a0464,1535488308,Dennis Ritchie,Notebook,0,400,400,0,0,added more stuff to har_metrics python and scraping har files
ThunderWeasel,5aa1e067198279e506f585091c05d627404a0464,1535488308,Dennis Ritchie,Python,1,82,69,0,13,added more stuff to har_metrics python and scraping har files
ThunderWeasel,5aa1e067198279e506f585091c05d627404a0464,1535488308,Dennis Ritchie,Total,1,482,469,0,13,added more stuff to har_metrics python and scraping har files
ThunderWeasel,a0b210e76f58936a5c01ebe5a08bb784f7381fe3,1535486333,John Nash,Plain Text,0,-4,-4,0,0,tests
ThunderWeasel,a0b210e76f58936a5c01ebe5a08bb784f7381fe3,1535486333,John Nash,Total,0,-4,-4,0,0,tests
ThunderWeasel,e9be3956f1ba344aed7c996578ecf6a38eadb1c5,1535485946,John Nash,Notebook,0,-108,-108,0,0,"moving things around, retraining clf"
ThunderWeasel,e9be3956f1ba344aed7c996578ecf6a38eadb1c5,1535485946,John Nash,Python,1,9,8,0,1,"moving things around, retraining clf"
ThunderWeasel,e9be3956f1ba344aed7c996578ecf6a38eadb1c5,1535485946,John Nash,Plain Text,0,1,1,0,0,"moving things around, retraining clf"
ThunderWeasel,e9be3956f1ba344aed7c996578ecf6a38eadb1c5,1535485946,John Nash,Total,1,-98,-99,0,1,"moving things around, retraining clf"
ThunderWeasel,e9ecdbcb96cdaa0f797f8af396f31ced16bb759c,1535477042,Leonhard Euler,Python,0,1,1,0,0,sampling all classifier positives regardless of tap decision; augmenting label to be 'review-FP-random'
ThunderWeasel,e9ecdbcb96cdaa0f797f8af396f31ced16bb759c,1535477042,Leonhard Euler,Plain Text,0,15,15,0,0,sampling all classifier positives regardless of tap decision; augmenting label to be 'review-FP-random'
ThunderWeasel,e9ecdbcb96cdaa0f797f8af396f31ced16bb759c,1535477042,Leonhard Euler,Total,0,16,16,0,0,sampling all classifier positives regardless of tap decision; augmenting label to be 'review-FP-random'
ThunderWeasel,726269e46163c11e3adf97db9eacf826a109d4ac,1535421872,Dennis Ritchie,Notebook,1,489,489,0,0,add metrics for har classifier
ThunderWeasel,726269e46163c11e3adf97db9eacf826a109d4ac,1535421872,Dennis Ritchie,Total,1,489,489,0,0,add metrics for har classifier
ThunderWeasel,2f0a340e0f52686b7eb75dd6697c2ac096129e54,1535412313,Leonhard Euler,Python,0,10,8,0,2,finished adding 'random' option
ThunderWeasel,2f0a340e0f52686b7eb75dd6697c2ac096129e54,1535412313,Leonhard Euler,Total,0,10,8,0,2,finished adding 'random' option
